               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.9029,              5.5923,              4.1776,            0.027382,            0.068165,            0.019948,            0.005798,                   0,                   0,                   0,            0.070037,           0.0033292,           0.0033292
                   1,              3.5858,              3.2099,              2.1445,             0.10365,               0.129,            0.077565,            0.036148,                   0,                   0,                   0,            0.039971,           0.0065966,           0.0065966
                   2,              2.9346,              2.6192,              1.7265,             0.23338,             0.15397,             0.12351,            0.060926,                   0,                   0,                   0,           0.0098392,            0.009798,            0.009798
                   3,               2.639,              2.3285,              1.5728,             0.22428,             0.18084,             0.14252,            0.073199,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,               2.457,              2.1084,              1.4897,             0.25758,             0.20554,              0.1747,            0.093037,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.3285,              1.9646,              1.4448,             0.29488,             0.22476,             0.20111,             0.10852,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,               2.222,              1.8416,              1.4082,             0.31608,             0.24292,             0.21381,             0.11896,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.1734,              1.7697,              1.3833,             0.31061,             0.24919,             0.23113,             0.12628,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.1148,              1.7104,              1.3609,             0.34771,             0.26264,             0.24484,             0.13765,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.0785,              1.6718,              1.3557,             0.36043,             0.27093,             0.25793,             0.14568,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.0349,              1.6156,              1.3393,             0.37561,             0.27688,              0.2701,             0.15085,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              2.0192,              1.5881,              1.3307,             0.40481,             0.28712,             0.27603,             0.15701,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.9783,              1.5484,              1.3198,             0.38712,             0.30144,             0.28893,             0.16723,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.9755,              1.5323,              1.3083,              0.4045,             0.30102,             0.29013,             0.16635,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.9425,              1.5071,              1.3055,             0.40657,              0.3094,             0.30225,             0.17476,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.9248,              1.4838,              1.3003,             0.41713,             0.32101,             0.31221,             0.17911,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.9034,              1.4593,              1.2945,             0.41166,             0.32376,             0.31195,             0.18004,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.8922,              1.4458,              1.2896,             0.42799,             0.32435,             0.32158,             0.18473,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.8741,              1.4315,              1.2838,             0.43765,             0.32975,             0.32563,             0.18947,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.8655,              1.4125,              1.2805,             0.42605,             0.33327,             0.32726,             0.19141,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.8525,              1.3906,              1.2738,              0.4245,             0.34942,             0.33296,             0.19483,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,               1.849,              1.3892,              1.2728,             0.44171,             0.34367,             0.33864,             0.19738,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.8345,              1.3623,              1.2692,             0.44326,             0.34388,             0.34185,             0.19896,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.8256,              1.3566,              1.2648,             0.45347,             0.34449,             0.34021,             0.19854,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.8137,              1.3577,              1.2671,             0.45752,             0.34797,             0.34843,             0.20361,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.8064,              1.3436,              1.2612,             0.44053,             0.34977,             0.34461,             0.20319,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.7985,              1.3296,              1.2582,              0.4672,               0.346,             0.35321,              0.2068,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,               1.782,              1.3198,               1.254,             0.46465,             0.34644,             0.35304,             0.20852,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
